LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error
2019-05-28 09:40:53,1900-01-00 00:00:00,,D2:F8:8C:35:54:1C,-19,,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:53,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:54,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:54,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:54,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-13,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:54,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-59,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:54,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:54,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:55,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-61,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:55,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-17,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:55,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:55,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:55,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-19,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:57,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-13,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:57,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-19,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:57,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:58,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-13,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:58,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-19,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:58,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-19,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:59,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:59,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-28,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:59,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-17,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:40:59,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:41:00,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:41:01,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:41:01,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-17,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:41:01,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:41:01,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-13,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:41:01,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:41:01,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-15,WPA2,0.000000,0.000000,0.000,0.000
2019-05-28 09:41:01,1900-01-00 00:00:00,yumion1234,D2:F8:8C:35:54:1C,-13,WPA2,0.000000,0.000000,0.000,0.000
